# Paired panel impbrace48: control (doctrines/flame-nocover.doctrine) vs
# brace (doctrines/imp-brace.doctrine), 48 fresh seeds
# 8701001-8705889, 10000 samples. Laid out by
# scripts/panel.py; judged by the pairs + margin report.
#
# label | seed | doctrine | samples
control|8701001|doctrines/flame-nocover.doctrine|10000
brace|8701001|doctrines/imp-brace.doctrine|10000
control|8701105|doctrines/flame-nocover.doctrine|10000
brace|8701105|doctrines/imp-brace.doctrine|10000
control|8701209|doctrines/flame-nocover.doctrine|10000
brace|8701209|doctrines/imp-brace.doctrine|10000
control|8701313|doctrines/flame-nocover.doctrine|10000
brace|8701313|doctrines/imp-brace.doctrine|10000
control|8701417|doctrines/flame-nocover.doctrine|10000
brace|8701417|doctrines/imp-brace.doctrine|10000
control|8701521|doctrines/flame-nocover.doctrine|10000
brace|8701521|doctrines/imp-brace.doctrine|10000
control|8701625|doctrines/flame-nocover.doctrine|10000
brace|8701625|doctrines/imp-brace.doctrine|10000
control|8701729|doctrines/flame-nocover.doctrine|10000
brace|8701729|doctrines/imp-brace.doctrine|10000
control|8701833|doctrines/flame-nocover.doctrine|10000
brace|8701833|doctrines/imp-brace.doctrine|10000
control|8701937|doctrines/flame-nocover.doctrine|10000
brace|8701937|doctrines/imp-brace.doctrine|10000
control|8702041|doctrines/flame-nocover.doctrine|10000
brace|8702041|doctrines/imp-brace.doctrine|10000
control|8702145|doctrines/flame-nocover.doctrine|10000
brace|8702145|doctrines/imp-brace.doctrine|10000
control|8702249|doctrines/flame-nocover.doctrine|10000
brace|8702249|doctrines/imp-brace.doctrine|10000
control|8702353|doctrines/flame-nocover.doctrine|10000
brace|8702353|doctrines/imp-brace.doctrine|10000
control|8702457|doctrines/flame-nocover.doctrine|10000
brace|8702457|doctrines/imp-brace.doctrine|10000
control|8702561|doctrines/flame-nocover.doctrine|10000
brace|8702561|doctrines/imp-brace.doctrine|10000
control|8702665|doctrines/flame-nocover.doctrine|10000
brace|8702665|doctrines/imp-brace.doctrine|10000
control|8702769|doctrines/flame-nocover.doctrine|10000
brace|8702769|doctrines/imp-brace.doctrine|10000
control|8702873|doctrines/flame-nocover.doctrine|10000
brace|8702873|doctrines/imp-brace.doctrine|10000
control|8702977|doctrines/flame-nocover.doctrine|10000
brace|8702977|doctrines/imp-brace.doctrine|10000
control|8703081|doctrines/flame-nocover.doctrine|10000
brace|8703081|doctrines/imp-brace.doctrine|10000
control|8703185|doctrines/flame-nocover.doctrine|10000
brace|8703185|doctrines/imp-brace.doctrine|10000
control|8703289|doctrines/flame-nocover.doctrine|10000
brace|8703289|doctrines/imp-brace.doctrine|10000
control|8703393|doctrines/flame-nocover.doctrine|10000
brace|8703393|doctrines/imp-brace.doctrine|10000
control|8703497|doctrines/flame-nocover.doctrine|10000
brace|8703497|doctrines/imp-brace.doctrine|10000
control|8703601|doctrines/flame-nocover.doctrine|10000
brace|8703601|doctrines/imp-brace.doctrine|10000
control|8703705|doctrines/flame-nocover.doctrine|10000
brace|8703705|doctrines/imp-brace.doctrine|10000
control|8703809|doctrines/flame-nocover.doctrine|10000
brace|8703809|doctrines/imp-brace.doctrine|10000
control|8703913|doctrines/flame-nocover.doctrine|10000
brace|8703913|doctrines/imp-brace.doctrine|10000
control|8704017|doctrines/flame-nocover.doctrine|10000
brace|8704017|doctrines/imp-brace.doctrine|10000
control|8704121|doctrines/flame-nocover.doctrine|10000
brace|8704121|doctrines/imp-brace.doctrine|10000
control|8704225|doctrines/flame-nocover.doctrine|10000
brace|8704225|doctrines/imp-brace.doctrine|10000
control|8704329|doctrines/flame-nocover.doctrine|10000
brace|8704329|doctrines/imp-brace.doctrine|10000
control|8704433|doctrines/flame-nocover.doctrine|10000
brace|8704433|doctrines/imp-brace.doctrine|10000
control|8704537|doctrines/flame-nocover.doctrine|10000
brace|8704537|doctrines/imp-brace.doctrine|10000
control|8704641|doctrines/flame-nocover.doctrine|10000
brace|8704641|doctrines/imp-brace.doctrine|10000
control|8704745|doctrines/flame-nocover.doctrine|10000
brace|8704745|doctrines/imp-brace.doctrine|10000
control|8704849|doctrines/flame-nocover.doctrine|10000
brace|8704849|doctrines/imp-brace.doctrine|10000
control|8704953|doctrines/flame-nocover.doctrine|10000
brace|8704953|doctrines/imp-brace.doctrine|10000
control|8705057|doctrines/flame-nocover.doctrine|10000
brace|8705057|doctrines/imp-brace.doctrine|10000
control|8705161|doctrines/flame-nocover.doctrine|10000
brace|8705161|doctrines/imp-brace.doctrine|10000
control|8705265|doctrines/flame-nocover.doctrine|10000
brace|8705265|doctrines/imp-brace.doctrine|10000
control|8705369|doctrines/flame-nocover.doctrine|10000
brace|8705369|doctrines/imp-brace.doctrine|10000
control|8705473|doctrines/flame-nocover.doctrine|10000
brace|8705473|doctrines/imp-brace.doctrine|10000
control|8705577|doctrines/flame-nocover.doctrine|10000
brace|8705577|doctrines/imp-brace.doctrine|10000
control|8705681|doctrines/flame-nocover.doctrine|10000
brace|8705681|doctrines/imp-brace.doctrine|10000
control|8705785|doctrines/flame-nocover.doctrine|10000
brace|8705785|doctrines/imp-brace.doctrine|10000
control|8705889|doctrines/flame-nocover.doctrine|10000
brace|8705889|doctrines/imp-brace.doctrine|10000
