rt_bin,mz,charge,rt_minutes,peak_width_minutes,mz_defect,kendrick_mass_defect,real
8,538.14415853955404,2,0.80235000000000001,8.8166666666666699E-2,0.144159,0.456738,1
8,137.05985030170001,1,0.80235000000000001,0.11461666666666701,0.059850,0.093192,0
8,143.03776679328001,2,0.80235000000000001,6.17166666666666E-2,0.037767,0.121950,0
8,146.042425967958,2,0.80235000000000001,5.29000000000001E-2,0.042426,0.120646,1
8,147.04493529689401,1,0.80235000000000001,0.27593333333333298,0.044935,0.119256,0
8,179.07129693548501,1,0.80235000000000001,0.27593333333333298,0.071297,0.128656,1
8,185.00808807870899,1,0.80235000000000001,1.0367833333333301,0.008088,0.198494,1
8,188.12942433319799,1,0.80235000000000001,0.267116666666667,0.129424,0.080643,0
8,190.144952869988,1,0.80235000000000001,0.22041666666666701,0.144953,0.067365,1
8,211.06048889841,2,0.80235000000000001,0.64623333333333299,0.060489,0.175183,1
8,217.95858434430701,1,0.80235000000000001,0.12343333333333301,0.958584,0.284790,0
8,219.55556797859401,2,0.80235000000000001,0.10580000000000001,0.555568,-0.310410,1
8,222.06391399456101,2,0.80235000000000001,0.43463333333333298,0.063914,0.184045,0
8,232.982971805283,1,0.80235000000000001,0.12343333333333301,0.982972,0.277179,0
8,237.08239849833399,1,0.80235000000000001,0.13225000000000001,0.082398,0.182330,1
8,241.156330225548,1,0.80235000000000001,0.27593333333333298,0.156330,0.112947,1
8,260.97818851549198,1,0.80235000000000001,5.29000000000001E-2,0.978189,0.313222,0
8,270.06047155997902,1,0.80235000000000001,9.6983333333333296E-2,0.060472,0.241080,1
8,272.10861916250502,2,0.80235000000000001,4.4083333333333398E-2,0.108619,0.195220,1
8,275.066885356515,2,0.80235000000000001,5.29000000000001E-2,0.066885,0.240257,1
8,286.05664571280198,1,0.80235000000000001,4.4083333333333398E-2,0.056646,0.262768,1
8,363.11306285823298,2,0.80235000000000001,0.20278333333333301,0.113063,0.292392,1
8,379.10861937390598,2,0.80235000000000001,2.6450000000000001E-2,0.108619,0.314697,1
8,396.22119423162701,1,0.80235000000000001,7.0533333333333295E-2,0.221194,0.221230,1
8,399.12585361348101,1,0.80235000000000001,9.6983333333333296E-2,0.125854,0.319814,1
8,399.33134435119803,1,0.80235000000000001,6.17166666666666E-2,0.331344,0.114553,0
8,415.10046110323702,1,0.80235000000000001,0.36409999999999998,0.100461,0.363044,1
8,422.16156362268998,1,0.80235000000000001,7.0533333333333295E-2,0.161564,0.309826,1
8,445.110525753231,2,0.80235000000000001,0.15870000000000001,0.110526,0.386489,1
8,495.12195902767002,2,0.80235000000000001,0.10580000000000001,0.121959,0.430899,1
8,513.07340818071702,1,0.80235000000000001,7.0533333333333295E-2,0.073408,0.499494,1
8,515.12286356432105,2,0.80235000000000001,0.14106666666666701,0.122864,0.452327,1
8,499.12736946297298,1,0.80235000000000001,0.48753333333333299,0.127369,0.429961,1
8,521.14122899783194,2,0.80235000000000001,7.0533333333333295E-2,0.141229,0.440682,1
8,524.19433268614398,1,0.80235000000000001,0.14106666666666701,0.194333,0.390987,1
8,539.14606364805002,2,0.80235000000000001,0.11461666666666701,0.146064,0.455952,1
8,550.16825976951498,2,0.80235000000000001,5.29000000000001E-2,0.168260,0.446063,1
8,313.09027598243699,2,0.80235000000000001,5.29000000000001E-2,0.090276,0.259323,1
8,152.043954111609,2,0.81116666666666704,0.17633333333333301,0.043954,0.125820,0
8,166.55532958635101,1,0.81116666666666704,0.14106666666666701,0.555330,-0.369352,1
8,172.978098796007,1,0.81116666666666704,0.84281666666666699,0.978099,0.215050,0
8,183.02998233553399,1,0.81116666666666704,8.8166666666666699E-2,0.029982,0.174391,0
8,217.00362391148099,1,0.81116666666666704,4.4083333333333398E-2,0.003624,0.238684,0
8,219.95140474553901,1,0.81116666666666704,7.0533333333333295E-2,0.951405,0.294195,0
8,242.985934720817,1,0.81116666666666704,0.20278333333333301,0.985935,0.285386,1
8,275.11055378197301,1,0.81116666666666704,0.249483333333333,0.110554,0.196637,1
8,287.11128616981603,1,0.81116666666666704,0.18515000000000001,0.111286,0.209305,1
8,272.99459488201802,1,0.81116666666666704,3.5266666666666703E-2,0.994595,0.310233,0
8,303.08660141836498,2,0.81116666666666704,0.19396666666666701,0.086601,0.251828,1
8,304.088258184626,2,0.81116666666666704,0.19396666666666701,0.088258,0.251289,1
8,330.06080222640497,1,0.81116666666666704,7.0533333333333295E-2,0.060802,0.307747,1
8,377.11059185022998,2,0.81116666666666704,7.9350000000000004E-2,0.110592,0.310493,1
8,387.08325563327099,2,0.81116666666666704,7.0533333333333295E-2,0.083256,0.348965,1
8,397.110763724045,2,0.81116666666666704,0.14106666666666701,0.110764,0.332654,1
8,487.12474445147097,2,0.81116666666666704,0.13225000000000001,0.124744,0.419183,1
8,524.12915869443896,2,0.81116666666666704,6.17166666666666E-2,0.129159,0.456089,1
8,682.16773253907502,2,0.81116666666666704,9.6983333333333296E-2,0.167733,-0.406018,1
8,349.08808111689501,2,0.81116666666666704,0.25829999999999997,0.088081,0.301714,1
8,747.15353268913498,1,0.81116666666666704,0.53161666666666696,0.153533,-0.319254,1
8,136.06217501153699,1,0.81998333333333295,0.60214999999999996,0.062175,0.089753,0
8,185.046474892258,2,0.81998333333333295,7.0533333333333295E-2,0.046475,0.160150,0
8,187.06342174122901,2,0.81998333333333295,8.8166666666666699E-2,0.063422,0.145455,0
8,190.99094747221301,1,0.81998333333333295,6.17166666666666E-2,0.990947,0.222315,0
8,221.092999205626,1,0.81998333333333295,0.13225000000000001,0.092999,0.153875,1
8,282.158095188049,1,0.81998333333333295,1.0279499999999999,0.158095,0.156965,1
8,314.08703268263997,2,0.81998333333333295,0.11461666666666701,0.087033,0.263680,1
8,359.24124050258098,1,0.81998333333333295,5.29000000000001E-2,0.241241,0.159891,0
8,373.92182942829902,1,0.81998333333333295,0.267116666666667,0.921829,0.495695,1
8,468.11965816664201,1,0.81998333333333295,5.2899999999999898E-2,0.119658,0.403048,1
8,481.12743141630102,2,0.81998333333333295,8.8166666666666699E-2,0.127431,0.409800,1
8,498.145496682839,2,0.81998333333333295,0.11461666666666701,0.145497,0.410737,1
8,398.11532928642498,2,0.81998333333333295,0.14988333333333301,0.115329,0.329210,1
8,155.10523292692801,1,0.82879999999999998,7.9350000000000004E-2,0.105233,0.067959,1
8,158.15517255345401,1,0.82879999999999998,7.9350000000000004E-2,0.155173,0.021425,0
8,161.03412321770901,1,0.82879999999999998,0.11461666666666701,0.034123,0.145689,0
8,278.89420021909399,1,0.82879999999999998,0.10580000000000001,0.894200,0.417216,0
8,286.176371610638,1,0.82879999999999998,0.12343333333333301,0.176372,0.143175,1
8,291.95351908882401,1,0.82879999999999998,0.18515000000000001,0.953519,0.372479,0
8,619.15199566661795,1,0.82879999999999998,0.18515000000000001,0.151996,-0.460645,1
8,178.020078322969,2,0.83761666666666701,7.9350000000000004E-2,0.020078,0.178700,0
8,184.98704675467201,1,0.83761666666666701,0.14988333333333301,0.987047,0.219511,0
8,198.53536568654701,2,0.83761666666666701,0.15870000000000001,0.535366,-0.313679,0
8,268.05504263744598,2,0.83761666666666701,0.10580000000000001,0.055043,0.244270,1
8,280.96303742683102,1,0.83761666666666701,0.22041666666666701,0.963037,0.350688,1
8,299.07831304578002,2,0.83761666666666701,0.12343333333333301,0.078313,0.255640,1
8,309.989877698962,1,0.83761666666666701,7.9350000000000004E-2,0.989878,0.356260,0
8,319.94850771621202,1,0.83761666666666701,6.17166666666666E-2,0.948508,0.408750,1
8,322.12939866833301,1,0.83761666666666701,0.302383333333333,0.129399,0.230294,1
8,333.11587445140299,1,0.83761666666666701,0.14988333333333301,0.115874,0.256086,1
8,401.04077701578399,1,0.83761666666666701,0.14106666666666701,0.040777,0.407029,1
