# Paired panel impbrace48b: control (doctrines/flame-nocover.doctrine) vs
# brace (doctrines/imp-brace.doctrine), 48 fresh seeds
# 8706001-8710889, 10000 samples. Laid out by
# scripts/panel.py; judged by the pairs + margin report.
#
# label | seed | doctrine | samples
control|8706001|doctrines/flame-nocover.doctrine|10000
brace|8706001|doctrines/imp-brace.doctrine|10000
control|8706105|doctrines/flame-nocover.doctrine|10000
brace|8706105|doctrines/imp-brace.doctrine|10000
control|8706209|doctrines/flame-nocover.doctrine|10000
brace|8706209|doctrines/imp-brace.doctrine|10000
control|8706313|doctrines/flame-nocover.doctrine|10000
brace|8706313|doctrines/imp-brace.doctrine|10000
control|8706417|doctrines/flame-nocover.doctrine|10000
brace|8706417|doctrines/imp-brace.doctrine|10000
control|8706521|doctrines/flame-nocover.doctrine|10000
brace|8706521|doctrines/imp-brace.doctrine|10000
control|8706625|doctrines/flame-nocover.doctrine|10000
brace|8706625|doctrines/imp-brace.doctrine|10000
control|8706729|doctrines/flame-nocover.doctrine|10000
brace|8706729|doctrines/imp-brace.doctrine|10000
control|8706833|doctrines/flame-nocover.doctrine|10000
brace|8706833|doctrines/imp-brace.doctrine|10000
control|8706937|doctrines/flame-nocover.doctrine|10000
brace|8706937|doctrines/imp-brace.doctrine|10000
control|8707041|doctrines/flame-nocover.doctrine|10000
brace|8707041|doctrines/imp-brace.doctrine|10000
control|8707145|doctrines/flame-nocover.doctrine|10000
brace|8707145|doctrines/imp-brace.doctrine|10000
control|8707249|doctrines/flame-nocover.doctrine|10000
brace|8707249|doctrines/imp-brace.doctrine|10000
control|8707353|doctrines/flame-nocover.doctrine|10000
brace|8707353|doctrines/imp-brace.doctrine|10000
control|8707457|doctrines/flame-nocover.doctrine|10000
brace|8707457|doctrines/imp-brace.doctrine|10000
control|8707561|doctrines/flame-nocover.doctrine|10000
brace|8707561|doctrines/imp-brace.doctrine|10000
control|8707665|doctrines/flame-nocover.doctrine|10000
brace|8707665|doctrines/imp-brace.doctrine|10000
control|8707769|doctrines/flame-nocover.doctrine|10000
brace|8707769|doctrines/imp-brace.doctrine|10000
control|8707873|doctrines/flame-nocover.doctrine|10000
brace|8707873|doctrines/imp-brace.doctrine|10000
control|8707977|doctrines/flame-nocover.doctrine|10000
brace|8707977|doctrines/imp-brace.doctrine|10000
control|8708081|doctrines/flame-nocover.doctrine|10000
brace|8708081|doctrines/imp-brace.doctrine|10000
control|8708185|doctrines/flame-nocover.doctrine|10000
brace|8708185|doctrines/imp-brace.doctrine|10000
control|8708289|doctrines/flame-nocover.doctrine|10000
brace|8708289|doctrines/imp-brace.doctrine|10000
control|8708393|doctrines/flame-nocover.doctrine|10000
brace|8708393|doctrines/imp-brace.doctrine|10000
control|8708497|doctrines/flame-nocover.doctrine|10000
brace|8708497|doctrines/imp-brace.doctrine|10000
control|8708601|doctrines/flame-nocover.doctrine|10000
brace|8708601|doctrines/imp-brace.doctrine|10000
control|8708705|doctrines/flame-nocover.doctrine|10000
brace|8708705|doctrines/imp-brace.doctrine|10000
control|8708809|doctrines/flame-nocover.doctrine|10000
brace|8708809|doctrines/imp-brace.doctrine|10000
control|8708913|doctrines/flame-nocover.doctrine|10000
brace|8708913|doctrines/imp-brace.doctrine|10000
control|8709017|doctrines/flame-nocover.doctrine|10000
brace|8709017|doctrines/imp-brace.doctrine|10000
control|8709121|doctrines/flame-nocover.doctrine|10000
brace|8709121|doctrines/imp-brace.doctrine|10000
control|8709225|doctrines/flame-nocover.doctrine|10000
brace|8709225|doctrines/imp-brace.doctrine|10000
control|8709329|doctrines/flame-nocover.doctrine|10000
brace|8709329|doctrines/imp-brace.doctrine|10000
control|8709433|doctrines/flame-nocover.doctrine|10000
brace|8709433|doctrines/imp-brace.doctrine|10000
control|8709537|doctrines/flame-nocover.doctrine|10000
brace|8709537|doctrines/imp-brace.doctrine|10000
control|8709641|doctrines/flame-nocover.doctrine|10000
brace|8709641|doctrines/imp-brace.doctrine|10000
control|8709745|doctrines/flame-nocover.doctrine|10000
brace|8709745|doctrines/imp-brace.doctrine|10000
control|8709849|doctrines/flame-nocover.doctrine|10000
brace|8709849|doctrines/imp-brace.doctrine|10000
control|8709953|doctrines/flame-nocover.doctrine|10000
brace|8709953|doctrines/imp-brace.doctrine|10000
control|8710057|doctrines/flame-nocover.doctrine|10000
brace|8710057|doctrines/imp-brace.doctrine|10000
control|8710161|doctrines/flame-nocover.doctrine|10000
brace|8710161|doctrines/imp-brace.doctrine|10000
control|8710265|doctrines/flame-nocover.doctrine|10000
brace|8710265|doctrines/imp-brace.doctrine|10000
control|8710369|doctrines/flame-nocover.doctrine|10000
brace|8710369|doctrines/imp-brace.doctrine|10000
control|8710473|doctrines/flame-nocover.doctrine|10000
brace|8710473|doctrines/imp-brace.doctrine|10000
control|8710577|doctrines/flame-nocover.doctrine|10000
brace|8710577|doctrines/imp-brace.doctrine|10000
control|8710681|doctrines/flame-nocover.doctrine|10000
brace|8710681|doctrines/imp-brace.doctrine|10000
control|8710785|doctrines/flame-nocover.doctrine|10000
brace|8710785|doctrines/imp-brace.doctrine|10000
control|8710889|doctrines/flame-nocover.doctrine|10000
brace|8710889|doctrines/imp-brace.doctrine|10000
