# The tankfirst panel (log 2026-09-09): the power audit's one flagged
# open cheap question -- impopen96's tankfirst read +263 paired survival
# at t=2.29, AT its own-spread MDE boundary, was dismissed on shape
# ('a turtle, not a road') and never panel-tested. Five screen positives
# have died at panels; this one gets the same court. 48 fresh shared
# seeds vs the standing base; own-spread MDE will be stated with the
# verdict per the audit's standing rule. Seeds 8841001-8845889.
#
# label | seed | doctrine | samples
stand|8841001|doctrines/evolve3-g3m10.doctrine|10000
tankf|8841001|doctrines/open-tankfirst.doctrine|10000
stand|8841105|doctrines/evolve3-g3m10.doctrine|10000
tankf|8841105|doctrines/open-tankfirst.doctrine|10000
stand|8841209|doctrines/evolve3-g3m10.doctrine|10000
tankf|8841209|doctrines/open-tankfirst.doctrine|10000
stand|8841313|doctrines/evolve3-g3m10.doctrine|10000
tankf|8841313|doctrines/open-tankfirst.doctrine|10000
stand|8841417|doctrines/evolve3-g3m10.doctrine|10000
tankf|8841417|doctrines/open-tankfirst.doctrine|10000
stand|8841521|doctrines/evolve3-g3m10.doctrine|10000
tankf|8841521|doctrines/open-tankfirst.doctrine|10000
stand|8841625|doctrines/evolve3-g3m10.doctrine|10000
tankf|8841625|doctrines/open-tankfirst.doctrine|10000
stand|8841729|doctrines/evolve3-g3m10.doctrine|10000
tankf|8841729|doctrines/open-tankfirst.doctrine|10000
stand|8841833|doctrines/evolve3-g3m10.doctrine|10000
tankf|8841833|doctrines/open-tankfirst.doctrine|10000
stand|8841937|doctrines/evolve3-g3m10.doctrine|10000
tankf|8841937|doctrines/open-tankfirst.doctrine|10000
stand|8842041|doctrines/evolve3-g3m10.doctrine|10000
tankf|8842041|doctrines/open-tankfirst.doctrine|10000
stand|8842145|doctrines/evolve3-g3m10.doctrine|10000
tankf|8842145|doctrines/open-tankfirst.doctrine|10000
stand|8842249|doctrines/evolve3-g3m10.doctrine|10000
tankf|8842249|doctrines/open-tankfirst.doctrine|10000
stand|8842353|doctrines/evolve3-g3m10.doctrine|10000
tankf|8842353|doctrines/open-tankfirst.doctrine|10000
stand|8842457|doctrines/evolve3-g3m10.doctrine|10000
tankf|8842457|doctrines/open-tankfirst.doctrine|10000
stand|8842561|doctrines/evolve3-g3m10.doctrine|10000
tankf|8842561|doctrines/open-tankfirst.doctrine|10000
stand|8842665|doctrines/evolve3-g3m10.doctrine|10000
tankf|8842665|doctrines/open-tankfirst.doctrine|10000
stand|8842769|doctrines/evolve3-g3m10.doctrine|10000
tankf|8842769|doctrines/open-tankfirst.doctrine|10000
stand|8842873|doctrines/evolve3-g3m10.doctrine|10000
tankf|8842873|doctrines/open-tankfirst.doctrine|10000
stand|8842977|doctrines/evolve3-g3m10.doctrine|10000
tankf|8842977|doctrines/open-tankfirst.doctrine|10000
stand|8843081|doctrines/evolve3-g3m10.doctrine|10000
tankf|8843081|doctrines/open-tankfirst.doctrine|10000
stand|8843185|doctrines/evolve3-g3m10.doctrine|10000
tankf|8843185|doctrines/open-tankfirst.doctrine|10000
stand|8843289|doctrines/evolve3-g3m10.doctrine|10000
tankf|8843289|doctrines/open-tankfirst.doctrine|10000
stand|8843393|doctrines/evolve3-g3m10.doctrine|10000
tankf|8843393|doctrines/open-tankfirst.doctrine|10000
stand|8843497|doctrines/evolve3-g3m10.doctrine|10000
tankf|8843497|doctrines/open-tankfirst.doctrine|10000
stand|8843601|doctrines/evolve3-g3m10.doctrine|10000
tankf|8843601|doctrines/open-tankfirst.doctrine|10000
stand|8843705|doctrines/evolve3-g3m10.doctrine|10000
tankf|8843705|doctrines/open-tankfirst.doctrine|10000
stand|8843809|doctrines/evolve3-g3m10.doctrine|10000
tankf|8843809|doctrines/open-tankfirst.doctrine|10000
stand|8843913|doctrines/evolve3-g3m10.doctrine|10000
tankf|8843913|doctrines/open-tankfirst.doctrine|10000
stand|8844017|doctrines/evolve3-g3m10.doctrine|10000
tankf|8844017|doctrines/open-tankfirst.doctrine|10000
stand|8844121|doctrines/evolve3-g3m10.doctrine|10000
tankf|8844121|doctrines/open-tankfirst.doctrine|10000
stand|8844225|doctrines/evolve3-g3m10.doctrine|10000
tankf|8844225|doctrines/open-tankfirst.doctrine|10000
stand|8844329|doctrines/evolve3-g3m10.doctrine|10000
tankf|8844329|doctrines/open-tankfirst.doctrine|10000
stand|8844433|doctrines/evolve3-g3m10.doctrine|10000
tankf|8844433|doctrines/open-tankfirst.doctrine|10000
stand|8844537|doctrines/evolve3-g3m10.doctrine|10000
tankf|8844537|doctrines/open-tankfirst.doctrine|10000
stand|8844641|doctrines/evolve3-g3m10.doctrine|10000
tankf|8844641|doctrines/open-tankfirst.doctrine|10000
stand|8844745|doctrines/evolve3-g3m10.doctrine|10000
tankf|8844745|doctrines/open-tankfirst.doctrine|10000
stand|8844849|doctrines/evolve3-g3m10.doctrine|10000
tankf|8844849|doctrines/open-tankfirst.doctrine|10000
stand|8844953|doctrines/evolve3-g3m10.doctrine|10000
tankf|8844953|doctrines/open-tankfirst.doctrine|10000
stand|8845057|doctrines/evolve3-g3m10.doctrine|10000
tankf|8845057|doctrines/open-tankfirst.doctrine|10000
stand|8845161|doctrines/evolve3-g3m10.doctrine|10000
tankf|8845161|doctrines/open-tankfirst.doctrine|10000
stand|8845265|doctrines/evolve3-g3m10.doctrine|10000
tankf|8845265|doctrines/open-tankfirst.doctrine|10000
stand|8845369|doctrines/evolve3-g3m10.doctrine|10000
tankf|8845369|doctrines/open-tankfirst.doctrine|10000
stand|8845473|doctrines/evolve3-g3m10.doctrine|10000
tankf|8845473|doctrines/open-tankfirst.doctrine|10000
stand|8845577|doctrines/evolve3-g3m10.doctrine|10000
tankf|8845577|doctrines/open-tankfirst.doctrine|10000
stand|8845681|doctrines/evolve3-g3m10.doctrine|10000
tankf|8845681|doctrines/open-tankfirst.doctrine|10000
stand|8845785|doctrines/evolve3-g3m10.doctrine|10000
tankf|8845785|doctrines/open-tankfirst.doctrine|10000
stand|8845889|doctrines/evolve3-g3m10.doctrine|10000
tankf|8845889|doctrines/open-tankfirst.doctrine|10000
